SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
Konkan & Goa,1973,0,0.4,0,0,3.1,455.9,922.1,910.6,437.4,103.6,2.9,0.2,2836.3
Konkan & Goa,1974,0.7,0,0,6.8,73.9,508.2,1133,774.4,351.1,238.6,0,0,3086.7
Konkan & Goa,1975,0,0.1,0,1,13.6,856.9,1027,848,556,192.7,20.2,0,3515.4
Konkan & Goa,1976,0,0,1.6,0.4,4.5,635.1,1279.2,690.1,360.7,20.3,71,0,3063
Konkan & Goa,1977,0,0,0.8,1.3,10.3,583,1384.6,580.5,386.9,77,78.8,0.2,3103.3
Konkan & Goa,1978,0,0,0,8.3,86.6,946.2,907.2,575.4,243,67.2,48.8,2.8,2885.6
Konkan & Goa,1979,0,0.7,0.1,0,0.3,653.1,797.2,687.2,266.5,26.8,77.3,0,2509.2
Konkan & Goa,1980,0,0,0,3.5,2.9,877.7,749.9,851.8,166.4,20.7,26.1,25.2,2724.3
Konkan & Goa,1981,0.6,0,0,0.1,4.2,773.9,1073,708.6,480.6,59.1,24.5,0.1,3124.7
Konkan & Goa,1982,0,0,0,0,14.5,558.4,987.1,810.8,216.3,42.1,69.6,0,2698.9
Konkan & Goa,1983,0,0,0,0.3,0.4,655.3,1073.2,1331.2,638.8,102.4,9.7,3.2,3814.5
Konkan & Goa,1984,0,0.2,0.1,0.9,0.3,728,1090.5,421.4,220.5,118.7,2.9,0.3,2583.6
Konkan & Goa,1985,0,0,0,0.4,23.3,1000,921.3,663.1,153.1,204.8,2.5,0,2968.5
Konkan & Goa,1986,0,0,0,0.1,1,777.2,543.2,670.9,65,15.6,53.6,1,2127.7
Konkan & Goa,1987,0,0,0,0.6,9,612,832.2,835.6,149.3,166.8,20.2,9.3,2635
Konkan & Goa,1988,0,0,0,4.3,1.3,506.1,1432.1,664.4,617.9,66.9,0,0,3293
Konkan & Goa,1989,0,0,0.6,1,4,733.1,943,704.9,300.5,80.7,3.6,0,2771.5
Konkan & Goa,1990,0,0,0.1,0,193.9,802.1,873.7,1164.2,323.2,190,20.8,0,3568
Konkan & Goa,1991,0,0,0,6.4,14.7,759.2,1461.4,598.8,92.7,20.3,0.8,0.3,2954.6
Konkan & Goa,1992,0,0,0,0,6.2,493,822.9,1093.1,343.4,79,2.8,0,2840.4
Konkan & Goa,1993,0,0,0.6,0.1,11.4,587.7,1394.1,648.7,597.2,227.6,9.4,4,3480.9
Konkan & Goa,1994,1.3,0,0,12.5,11.7,784.8,1168.5,654.4,406.5,137.9,2.2,0,3179.8
Konkan & Goa,1995,3.5,0,0,3.3,15.3,345.9,1171.2,606.5,419.5,196.5,4.4,0,2766
Konkan & Goa,1996,0.1,0,0,0.6,1.4,535.7,1232,594.6,308.4,245.9,1.2,0.9,2920.7
Konkan & Goa,1997,2.6,0,0.8,1.8,0.2,757.9,1072.6,847.6,215.2,21.8,47.1,59.6,3027.2
Konkan & Goa,1998,0,0,0,0,9.7,671.3,909.1,758.3,561.8,280,44.3,0.1,3234.7
Konkan & Goa,1999,0,0,0,0,67.1,978.7,1105.1,283.7,297.1,179.7,0.7,0,2912.1
Konkan & Goa,2000,1.2,0,0,0.9,190.3,739.4,1200.4,789.5,111.9,91.8,1.6,6.2,3133.2
Konkan & Goa,2001,5.6,0,0,2.8,59.6,540.1,873.4,611.3,207.9,91.6,3.1,0,2395.4
Konkan & Goa,2002,0,0,0.1,2.8,9.4,942,452.8,834.5,217.1,75.3,3,0.3,2537.2
Konkan & Goa,2003,0.5,0.6,0.8,1.2,11.2,865.3,1013.9,593.7,298.7,54.4,1.9,0,2842.3
Konkan & Goa,2004,0,0,0,10.4,46.9,678.6,902.3,1011.5,293.3,32.9,10.2,0,2985.9
Konkan & Goa,2005,1.3,0.1,1.9,4,9.8,730.2,1340.9,772.2,678.8,76.5,0,0.1,3615.7
Konkan & Goa,2006,0,0,9.9,0,211.8,683.1,1066.2,886.4,399.9,202.4,22.5,0,3482.2
Konkan & Goa,2007,0,0,0.1,3.3,33.4,939.3,841.3,980.2,609,45.6,16,0.1,3468.5
Konkan & Goa,2008,0,0.1,31.5,0.3,11.1,798.5,766.6,833.1,551.2,57.3,0.9,2.4,3053.1
Konkan & Goa,2009,0,0,0.3,0.1,5.6,330.6,1271.2,292.9,387.5,307.4,121,0,2716.6
Konkan & Goa,2010,2.7,0,0,1.5,8.2,680.8,1405.3,850,531.3,190.2,106.7,1.4,3778.1
Konkan & Goa,2011,0,0,0,3.4,1.1,857,1384.1,987.9,468.3,120.3,3.1,0,3825.2
Konkan & Goa,2012,0,0,0,0.6,1.1,633,928.5,762.5,515.3,175.1,2.3,0,3018.4
Konkan & Goa,2013,1.8,5.4,0.1,0.1,18.5,1028.3,1478.5,497.6,340.7,149.3,2.1,1.5,3524
Konkan & Goa,2014,1.3,5.3,1.8,0.7,21.3,238.2,1293.2,658,419.5,98.7,8,11.7,2757.5
Konkan & Goa,2015,2.7,0,36.8,3.6,11.3,764,526.5,377.3,240.9,91.4,27.3,0,2082
Konkan & Goa,2016,0,0.1,2,0.3,2.1,806.5,1327.3,817,600.2,106.3,2,0.1,3663.9
Konkan & Goa,2017,0,0,0,0,47,840.4,1095.3,731.2,546.9,156.9,0.7,25,3443.4
Madhya Maharashtra,1961,0.3,0.1,0.5,9.8,104.2,163.5,411.9,135,104.8,128,10,2.5,1070.5
Madhya Maharashtra,1962,0.2,0.1,6.7,12.9,57.2,46.8,287.5,164,199.9,51.9,23,48.8,899
Madhya Maharashtra,1963,0.8,4.3,14,12,23.3,138.6,252.3,268.7,72.7,93.5,19.1,0.6,899.9
Madhya Maharashtra,1964,0,0,4.1,6.2,7,139.8,238.9,242.3,223.1,60,23.3,0.9,945.7
